param soc_lower_bound := 0.8;
param nLayers := 12;
param weight :=
 1 source 9601 0
 1 source 9602 0
 1 source 9603 0
 1 source 9604 0
 1 source 9605 0
 1 source 9606 0
 1 source 9607 0
 1 source 9608 0
 1 source 9609 0
 1 source 9610 0
 1 source 9611 0
 1 source 9612 0
 1 1 destination 0 
 1 2 destination 0 
 1 3 destination 0 
 1 4 destination 0 
 1 5 destination 0 
 1 6 destination 0 
 1 7 destination 0 
 1 8 destination 0 
 1 9 destination 0 
 1 10 destination 0 
 1 11 destination 0 
 1 12 destination 0 
 1 9601 6853 1
 1 9601 6853 0
 1 6853 4069 1
 1 6853 4069 0
 1 6854 4069 1
 1 6854 4070 0
 1 6855 4069 1
 1 6855 4071 0
 1 6856 4070 1
 1 6856 4072 0
 1 6857 4071 1
 1 6857 4073 0
 1 6858 4072 1
 1 6858 4074 0
 1 6859 4073 1
 1 6859 4075 0
 1 6860 4074 1
 1 6860 4076 0
 1 6861 4075 1
 1 6861 4077 0
 1 6862 4076 1
 1 6862 4078 0
 1 6863 4077 1
 1 6863 4079 0
 1 6864 destination 0
 1 4069 4129 1
 1 4069 4130 0
 1 4070 4129 1
 1 4070 4131 0
 1 4071 4129 1
 1 4071 4132 0
 1 4072 4129 1
 1 4072 4133 0
 1 4073 4129 1
 1 4073 4134 0
 1 4074 4129 1
 1 4074 4135 0
 1 4075 4129 1
 1 4075 4136 0
 1 4076 4129 1
 1 4076 4137 0
 1 4077 4130 1
 1 4077 4138 0
 1 4078 4131 1
 1 4078 4139 0
 1 4079 4132 1
 1 4079 4140 0
 1 4080 destination 0
 1 4129 7021 1
 1 4129 7021 0
 1 4130 7021 1
 1 4130 7022 0
 1 4131 7021 1
 1 4131 7023 0
 1 4132 7022 1
 1 4132 7024 0
 1 4133 7023 1
 1 4133 7025 0
 1 4134 7024 1
 1 4134 7026 0
 1 4135 7025 1
 1 4135 7027 0
 1 4136 7026 1
 1 4136 7028 0
 1 4137 7027 1
 1 4137 7029 0
 1 4138 7028 1
 1 4138 7030 0
 1 4139 7029 1
 1 4139 7031 0
 1 4140 destination 0
 1 7021 10597 1
 1 7021 10600 0
 1 7022 10597 1
 1 7022 10601 0
 1 7023 10597 1
 1 7023 10602 0
 1 7024 10597 1
 1 7024 10603 0
 1 7025 10597 1
 1 7025 10604 0
 1 7026 10597 1
 1 7026 10605 0
 1 7027 10597 1
 1 7027 10606 0
 1 7028 10597 1
 1 7028 10607 0
 1 7029 10597 1
 1 7029 10608 0
 1 7030 10597 1
 1 7030 10608 0
 1 7031 10597 1
 1 7031 10608 0
 1 7032 destination 0
 1 10597 4909 1
 1 10597 4910 0
 1 10598 4909 1
 1 10598 4911 0
 1 10599 4909 1
 1 10599 4912 0
 1 10600 4909 1
 1 10600 4913 0
 1 10601 4909 1
 1 10601 4914 0
 1 10602 4909 1
 1 10602 4915 0
 1 10603 4909 1
 1 10603 4916 0
 1 10604 4909 1
 1 10604 4917 0
 1 10605 4910 1
 1 10605 4918 0
 1 10606 4911 1
 1 10606 4919 0
 1 10607 4912 1
 1 10607 4920 0
 1 10608 destination 0
 1 4909 3865 1
 1 4909 3866 0
 1 4910 3865 1
 1 4910 3867 0
 1 4911 3865 1
 1 4911 3868 0
 1 4912 3865 1
 1 4912 3869 0
 1 4913 3865 1
 1 4913 3870 0
 1 4914 3865 1
 1 4914 3871 0
 1 4915 3865 1
 1 4915 3872 0
 1 4916 3865 1
 1 4916 3873 0
 1 4917 3866 1
 1 4917 3874 0
