param soc_lower_bound := 0.8;
param nLayers := 12;
param weight :=
 1 source 8881 0
 1 source 8882 0
 1 source 8883 0
 1 source 8884 0
 1 source 8885 0
 1 source 8886 0
 1 source 8887 0
 1 source 8888 0
 1 source 8889 0
 1 source 8890 0
 1 source 8891 0
 1 source 8892 0
 1 1 destination 0 
 1 2 destination 0 
 1 3 destination 0 
 1 4 destination 0 
 1 5 destination 0 
 1 6 destination 0 
 1 7 destination 0 
 1 8 destination 0 
 1 9 destination 0 
 1 10 destination 0 
 1 11 destination 0 
 1 12 destination 0 
 1 8881 1489 1
 1 8881 1494 0
 1 1489 9181 1
 1 1489 9182 0
 1 1490 9181 1
 1 1490 9183 0
 1 1491 9181 1
 1 1491 9184 0
 1 1492 9181 1
 1 1492 9185 0
 1 1493 9181 1
 1 1493 9186 0
 1 1494 9181 1
 1 1494 9187 0
 1 1495 9181 1
 1 1495 9188 0
 1 1496 9181 1
 1 1496 9189 0
 1 1497 9182 1
 1 1497 9190 0
 1 1498 9183 1
 1 1498 9191 0
 1 1499 9184 1
 1 1499 9192 0
 1 1500 destination 0
 1 9181 8329 1
 1 9181 8332 0
 1 9182 8329 1
 1 9182 8333 0
 1 9183 8329 1
 1 9183 8334 0
 1 9184 8329 1
 1 9184 8335 0
 1 9185 8329 1
 1 9185 8336 0
 1 9186 8329 1
 1 9186 8337 0
 1 9187 8329 1
 1 9187 8338 0
 1 9188 8329 1
 1 9188 8339 0
 1 9189 8329 1
 1 9189 8340 0
 1 9190 8329 1
 1 9190 8340 0
 1 9191 8329 1
 1 9191 8340 0
 1 9192 destination 0
 1 8329 3853 1
 1 8329 3858 0
 1 8330 3853 1
 1 8330 3859 0
 1 8331 3853 1
 1 8331 3860 0
 1 8332 3853 1
 1 8332 3861 0
 1 8333 3853 1
 1 8333 3862 0
 1 8334 3853 1
 1 8334 3863 0
 1 8335 3853 1
 1 8335 3864 0
 1 8336 3853 1
 1 8336 3864 0
 1 8337 3853 1
 1 8337 3864 0
 1 8338 3853 1
 1 8338 3864 0
 1 8339 3853 1
 1 8339 3864 0
 1 8340 destination 0
 1 3853 3709 1
 1 3853 3710 0
 1 3854 3709 1
 1 3854 3711 0
 1 3855 3709 1
 1 3855 3712 0
 1 3856 3709 1
 1 3856 3713 0
 1 3857 3709 1
 1 3857 3714 0
 1 3858 3709 1
 1 3858 3715 0
 1 3859 3709 1
 1 3859 3716 0
 1 3860 3709 1
 1 3860 3717 0
 1 3861 3709 1
 1 3861 3718 0
 1 3862 3710 1
 1 3862 3719 0
 1 3863 3711 1
 1 3863 3720 0
 1 3864 destination 0
 1 3709 2269 1
 1 3709 2276 0
 1 3710 2269 1
 1 3710 2277 0
 1 3711 2269 1
 1 3711 2278 0
 1 3712 2269 1
 1 3712 2279 0
 1 3713 2269 1
 1 3713 2280 0
 1 3714 2269 1
 1 3714 2280 0
 1 3715 2269 1
 1 3715 2280 0
 1 3716 2269 1
 1 3716 2280 0
 1 3717 2269 1
 1 3717 2280 0
 1 3718 2269 1
 1 3718 2280 0
 1 3719 2269 1
 1 3719 2280 0
 1 3720 destination 0
 1 2269 2449 1
 1 2269 2450 0
 1 2270 2449 1
 1 2270 2451 0
 1 2271 2449 1
 1 2271 2452 0
 1 2272 2449 1
 1 2272 2453 0
 1 2273 2449 1
 1 2273 2454 0
 1 2274 2449 1
 1 2274 2455 0
 1 2275 2449 1
 1 2275 2456 0
 1 2276 2449 1
 1 2276 2457 0
 1 2277 2449 1
 1 2277 2458 0
