param soc_lower_bound := 0.8;
param nLayers := 12;
param weight :=
 1 source 2185 0
 1 source 2186 0
 1 source 2187 0
 1 source 2188 0
 1 source 2189 0
 1 source 2190 0
 1 source 2191 0
 1 source 2192 0
 1 source 2193 0
 1 source 2194 0
 1 source 2195 0
 1 source 2196 0
 1 1 destination 0 
 1 2 destination 0 
 1 3 destination 0 
 1 4 destination 0 
 1 5 destination 0 
 1 6 destination 0 
 1 7 destination 0 
 1 8 destination 0 
 1 9 destination 0 
 1 10 destination 0 
 1 11 destination 0 
 1 12 destination 0 
 1 2185 2209 1
 1 2185 2210 0
 1 2209 9073 1
 1 2209 9074 0
 1 2210 9073 1
 1 2210 9075 0
 1 2211 9073 1
 1 2211 9076 0
 1 2212 9073 1
 1 2212 9077 0
 1 2213 9073 1
 1 2213 9078 0
 1 2214 9073 1
 1 2214 9079 0
 1 2215 9073 1
 1 2215 9080 0
 1 2216 9074 1
 1 2216 9081 0
 1 2217 9075 1
 1 2217 9082 0
 1 2218 9076 1
 1 2218 9083 0
 1 2219 9077 1
 1 2219 9084 0
 1 2220 destination 0
 1 9073 7129 1
 1 9073 7130 0
 1 9074 7129 1
 1 9074 7131 0
 1 9075 7129 1
 1 9075 7132 0
 1 9076 7129 1
 1 9076 7133 0
 1 9077 7129 1
 1 9077 7134 0
 1 9078 7129 1
 1 9078 7135 0
 1 9079 7129 1
 1 9079 7136 0
 1 9080 7129 1
 1 9080 7137 0
 1 9081 7130 1
 1 9081 7138 0
 1 9082 7131 1
 1 9082 7139 0
 1 9083 7132 1
 1 9083 7140 0
 1 9084 destination 0
 1 7129 1177 1
 1 7129 1178 0
 1 7130 1177 1
 1 7130 1179 0
 1 7131 1177 1
 1 7131 1180 0
 1 7132 1177 1
 1 7132 1181 0
 1 7133 1177 1
 1 7133 1182 0
 1 7134 1177 1
 1 7134 1183 0
 1 7135 1177 1
 1 7135 1184 0
 1 7136 1177 1
 1 7136 1185 0
 1 7137 1178 1
 1 7137 1186 0
 1 7138 1179 1
 1 7138 1187 0
 1 7139 1180 1
 1 7139 1188 0
 1 7140 destination 0
 1 1177 1369 1
 1 1177 1370 0
 1 1178 1369 1
 1 1178 1371 0
 1 1179 1369 1
 1 1179 1372 0
 1 1180 1369 1
 1 1180 1373 0
 1 1181 1369 1
 1 1181 1374 0
 1 1182 1369 1
 1 1182 1375 0
 1 1183 1370 1
 1 1183 1376 0
 1 1184 1371 1
 1 1184 1377 0
 1 1185 1372 1
 1 1185 1378 0
 1 1186 1373 1
 1 1186 1379 0
 1 1187 1374 1
 1 1187 1380 0
 1 1188 destination 0
 1 1369 2449 1
 1 1369 2452 0
 1 1370 2449 1
 1 1370 2453 0
 1 1371 2449 1
 1 1371 2454 0
 1 1372 2449 1
 1 1372 2455 0
 1 1373 2449 1
 1 1373 2456 0
 1 1374 2449 1
 1 1374 2457 0
 1 1375 2449 1
 1 1375 2458 0
 1 1376 2449 1
 1 1376 2459 0
 1 1377 2449 1
 1 1377 2460 0
 1 1378 2449 1
 1 1378 2460 0
 1 1379 2449 1
 1 1379 2460 0
 1 1380 destination 0
 1 2449 9613 1
 1 2449 9616 0
 1 2450 9613 1
 1 2450 9617 0
 1 2451 9613 1
 1 2451 9618 0
 1 2452 9613 1
 1 2452 9619 0
 1 2453 9613 1
 1 2453 9620 0
 1 2454 9613 1
 1 2454 9621 0
 1 2455 9613 1
 1 2455 9622 0
 1 2456 9613 1
 1 2456 9623 0
 1 2457 9613 1
 1 2457 9624 0
