param soc_lower_bound := 0.8;
param nLayers := 12;
param weight :=
 1 source 5557 0
 1 source 5558 0
 1 source 5559 0
 1 source 5560 0
 1 source 5561 0
 1 source 5562 0
 1 source 5563 0
 1 source 5564 0
 1 source 5565 0
 1 source 5566 0
 1 source 5567 0
 1 source 5568 0
 1 1 destination 0 
 1 2 destination 0 
 1 3 destination 0 
 1 4 destination 0 
 1 5 destination 0 
 1 6 destination 0 
 1 7 destination 0 
 1 8 destination 0 
 1 9 destination 0 
 1 10 destination 0 
 1 11 destination 0 
 1 12 destination 0 
 1 5557 8677 1
 1 5557 8678 0
 1 8677 4885 1
 1 8677 4886 0
 1 8678 4885 1
 1 8678 4887 0
 1 8679 4885 1
 1 8679 4888 0
 1 8680 4885 1
 1 8680 4889 0
 1 8681 4885 1
 1 8681 4890 0
 1 8682 4886 1
 1 8682 4891 0
 1 8683 4887 1
 1 8683 4892 0
 1 8684 4888 1
 1 8684 4893 0
 1 8685 4889 1
 1 8685 4894 0
 1 8686 4890 1
 1 8686 4895 0
 1 8687 4891 1
 1 8687 4896 0
 1 8688 destination 0
 1 4885 61 1
 1 4885 62 0
 1 4886 61 1
 1 4886 63 0
 1 4887 61 1
 1 4887 64 0
 1 4888 61 1
 1 4888 65 0
 1 4889 61 1
 1 4889 66 0
 1 4890 61 1
 1 4890 67 0
 1 4891 61 1
 1 4891 68 0
 1 4892 62 1
 1 4892 69 0
 1 4893 63 1
 1 4893 70 0
 1 4894 64 1
 1 4894 71 0
 1 4895 65 1
 1 4895 72 0
 1 4896 destination 0
 1 61 6949 1
 1 61 6950 0
 1 62 6949 1
 1 62 6951 0
 1 63 6949 1
 1 63 6952 0
 1 64 6949 1
 1 64 6953 0
 1 65 6949 1
 1 65 6954 0
 1 66 6949 1
 1 66 6955 0
 1 67 6949 1
 1 67 6956 0
 1 68 6949 1
 1 68 6957 0
 1 69 6949 1
 1 69 6958 0
 1 70 6949 1
 1 70 6959 0
 1 71 6949 1
 1 71 6960 0
 1 72 destination 0
 1 6949 2053 1
 1 6949 2054 0
 1 6950 2053 1
 1 6950 2055 0
 1 6951 2053 1
 1 6951 2056 0
 1 6952 2053 1
 1 6952 2057 0
 1 6953 2053 1
 1 6953 2058 0
 1 6954 2053 1
 1 6954 2059 0
 1 6955 2053 1
 1 6955 2060 0
 1 6956 2053 1
 1 6956 2061 0
 1 6957 2053 1
 1 6957 2062 0
 1 6958 2053 1
 1 6958 2063 0
 1 6959 2054 1
 1 6959 2064 0
 1 6960 destination 0
 1 2053 2221 1
 1 2053 2223 0
 1 2054 2221 1
 1 2054 2224 0
 1 2055 2221 1
 1 2055 2225 0
 1 2056 2221 1
 1 2056 2226 0
 1 2057 2221 1
 1 2057 2227 0
 1 2058 2221 1
 1 2058 2228 0
 1 2059 2221 1
 1 2059 2229 0
 1 2060 2221 1
 1 2060 2230 0
 1 2061 2221 1
 1 2061 2231 0
 1 2062 2221 1
 1 2062 2232 0
 1 2063 2221 1
 1 2063 2232 0
 1 2064 destination 0
 1 2221 10825 1
 1 2221 10826 0
 1 2222 10825 1
 1 2222 10827 0
 1 2223 10825 1
 1 2223 10828 0
 1 2224 10825 1
 1 2224 10829 0
 1 2225 10825 1
 1 2225 10830 0
 1 2226 10825 1
 1 2226 10831 0
 1 2227 10825 1
 1 2227 10832 0
 1 2228 10825 1
 1 2228 10833 0
 1 2229 10826 1
 1 2229 10834 0
 1 2230 10827 1
 1 2230 10835 0
 1 2231 10828 1
 1 2231 10836 0
