param soc_lower_bound := 0.8;
param nLayers := 12;
param weight :=
 1 source 1633 0
 1 source 1634 0
 1 source 1635 0
 1 source 1636 0
 1 source 1637 0
 1 source 1638 0
 1 source 1639 0
 1 source 1640 0
 1 source 1641 0
 1 source 1642 0
 1 source 1643 0
 1 source 1644 0
 1 1 destination 0 
 1 2 destination 0 
 1 3 destination 0 
 1 4 destination 0 
 1 5 destination 0 
 1 6 destination 0 
 1 7 destination 0 
 1 8 destination 0 
 1 9 destination 0 
 1 10 destination 0 
 1 11 destination 0 
 1 12 destination 0 
 1 1633 2257 1
 1 1633 2259 0
 1 2257 1681 1
 1 2257 1682 0
 1 2258 1681 1
 1 2258 1683 0
 1 2259 1681 1
 1 2259 1684 0
 1 2260 1681 1
 1 2260 1685 0
 1 2261 1681 1
 1 2261 1686 0
 1 2262 1681 1
 1 2262 1687 0
 1 2263 1681 1
 1 2263 1688 0
 1 2264 1681 1
 1 2264 1689 0
 1 2265 1682 1
 1 2265 1690 0
 1 2266 1683 1
 1 2266 1691 0
 1 2267 1684 1
 1 2267 1692 0
 1 2268 destination 0
 1 1681 3865 1
 1 1681 3868 0
 1 1682 3865 1
 1 1682 3869 0
 1 1683 3865 1
 1 1683 3870 0
 1 1684 3865 1
 1 1684 3871 0
 1 1685 3865 1
 1 1685 3872 0
 1 1686 3865 1
 1 1686 3873 0
 1 1687 3865 1
 1 1687 3874 0
 1 1688 3865 1
 1 1688 3875 0
 1 1689 3865 1
 1 1689 3876 0
 1 1690 3865 1
 1 1690 3876 0
 1 1691 3865 1
 1 1691 3876 0
 1 1692 destination 0
 1 3865 3505 1
 1 3865 3506 0
 1 3866 3505 1
 1 3866 3507 0
 1 3867 3505 1
 1 3867 3508 0
 1 3868 3505 1
 1 3868 3509 0
 1 3869 3505 1
 1 3869 3510 0
 1 3870 3505 1
 1 3870 3511 0
 1 3871 3505 1
 1 3871 3512 0
 1 3872 3505 1
 1 3872 3513 0
 1 3873 3506 1
 1 3873 3514 0
 1 3874 3507 1
 1 3874 3515 0
 1 3875 3508 1
 1 3875 3516 0
 1 3876 destination 0
 1 3505 4081 1
 1 3505 4082 0
 1 3506 4081 1
 1 3506 4083 0
 1 3507 4081 1
 1 3507 4084 0
 1 3508 4081 1
 1 3508 4085 0
 1 3509 4081 1
 1 3509 4086 0
 1 3510 4081 1
 1 3510 4087 0
 1 3511 4081 1
 1 3511 4088 0
 1 3512 4081 1
 1 3512 4089 0
 1 3513 4081 1
 1 3513 4090 0
 1 3514 4082 1
 1 3514 4091 0
 1 3515 4083 1
 1 3515 4092 0
 1 3516 destination 0
 1 4081 9565 1
 1 4081 9566 0
 1 4082 9565 1
 1 4082 9567 0
 1 4083 9565 1
 1 4083 9568 0
 1 4084 9565 1
 1 4084 9569 0
 1 4085 9565 1
 1 4085 9570 0
 1 4086 9565 1
 1 4086 9571 0
 1 4087 9566 1
 1 4087 9572 0
 1 4088 9567 1
 1 4088 9573 0
 1 4089 9568 1
 1 4089 9574 0
 1 4090 9569 1
 1 4090 9575 0
 1 4091 9570 1
 1 4091 9576 0
 1 4092 destination 0
 1 9565 3061 1
 1 9565 3062 0
 1 9566 3061 1
 1 9566 3063 0
 1 9567 3061 1
 1 9567 3064 0
 1 9568 3061 1
 1 9568 3065 0
 1 9569 3062 1
 1 9569 3066 0
 1 9570 3063 1
 1 9570 3067 0
 1 9571 3064 1
 1 9571 3068 0
 1 9572 3065 1
 1 9572 3069 0
 1 9573 3066 1
 1 9573 3070 0
