param soc_lower_bound := 0.8;
param nLayers := 23;
param weight :=
 1 source 18401 0
 1 source 18402 0
 1 source 18403 0
 1 source 18404 0
 1 source 18405 0
 1 source 18406 0
 1 source 18407 0
 1 source 18408 0
 1 source 18409 0
 1 source 18410 0
 1 source 18411 0
 1 source 18412 0
 1 source 18413 0
 1 source 18414 0
 1 source 18415 0
 1 source 18416 0
 1 source 18417 0
 1 source 18418 0
 1 source 18419 0
 1 source 18420 0
 1 source 18421 0
 1 source 18422 0
 1 source 18423 0
 1 1 destination 0 
 1 2 destination 0 
 1 3 destination 0 
 1 4 destination 0 
 1 5 destination 0 
 1 6 destination 0 
 1 7 destination 0 
 1 8 destination 0 
 1 9 destination 0 
 1 10 destination 0 
 1 11 destination 0 
 1 12 destination 0 
 1 13 destination 0 
 1 14 destination 0 
 1 15 destination 0 
 1 16 destination 0 
 1 17 destination 0 
 1 18 destination 0 
 1 19 destination 0 
 1 20 destination 0 
 1 21 destination 0 
 1 22 destination 0 
 1 23 destination 0 
 1 18401 13134 1
 1 18401 13135 0
 1 13134 7798 1
 1 13134 7799 0
 1 13135 7798 1
 1 13135 7800 0
 1 13136 7798 1
 1 13136 7801 0
 1 13137 7798 1
 1 13137 7802 0
 1 13138 7798 1
 1 13138 7803 0
 1 13139 7798 1
 1 13139 7804 0
 1 13140 7799 1
 1 13140 7805 0
 1 13141 7800 1
 1 13141 7806 0
 1 13142 7801 1
 1 13142 7807 0
 1 13143 7802 1
 1 13143 7808 0
 1 13144 7803 1
 1 13144 7809 0
 1 13145 7804 1
 1 13145 7810 0
 1 13146 7805 1
 1 13146 7811 0
 1 13147 7806 1
 1 13147 7812 0
 1 13148 7807 1
 1 13148 7813 0
 1 13149 7808 1
 1 13149 7814 0
 1 13150 7809 1
 1 13150 7815 0
 1 13151 7810 1
 1 13151 7816 0
 1 13152 7811 1
 1 13152 7817 0
 1 13153 7812 1
 1 13153 7818 0
 1 13154 7813 1
 1 13154 7819 0
 1 13155 7814 1
 1 13155 7820 0
 1 13156 destination 0
 1 7798 7913 1
 1 7798 7919 0
 1 7799 7913 1
 1 7799 7920 0
 1 7800 7913 1
 1 7800 7921 0
 1 7801 7913 1
 1 7801 7922 0
 1 7802 7913 1
 1 7802 7923 0
 1 7803 7913 1
 1 7803 7924 0
 1 7804 7913 1
 1 7804 7925 0
 1 7805 7913 1
 1 7805 7926 0
 1 7806 7913 1
 1 7806 7927 0
 1 7807 7913 1
 1 7807 7928 0
 1 7808 7913 1
 1 7808 7929 0
 1 7809 7913 1
 1 7809 7930 0
 1 7810 7913 1
 1 7810 7931 0
 1 7811 7913 1
 1 7811 7932 0
 1 7812 7913 1
 1 7812 7933 0
 1 7813 7913 1
 1 7813 7934 0
 1 7814 7913 1
 1 7814 7935 0
 1 7815 7913 1
 1 7815 7935 0
 1 7816 7913 1
 1 7816 7935 0
 1 7817 7913 1
 1 7817 7935 0
 1 7818 7913 1
 1 7818 7935 0
 1 7819 7913 1
 1 7819 7935 0
 1 7820 destination 0
 1 7913 13456 1
 1 7913 13457 0
 1 7914 13456 1
 1 7914 13458 0
 1 7915 13456 1
 1 7915 13459 0
 1 7916 13456 1
 1 7916 13460 0
 1 7917 13456 1
 1 7917 13461 0
 1 7918 13456 1
 1 7918 13462 0
 1 7919 13457 1
 1 7919 13463 0
 1 7920 13458 1
 1 7920 13464 0
 1 7921 13459 1
 1 7921 13465 0
 1 7922 13460 1
 1 7922 13466 0
 1 7923 13461 1
 1 7923 13467 0
 1 7924 13462 1
 1 7924 13468 0
 1 7925 13463 1
 1 7925 13469 0
 1 7926 13464 1
 1 7926 13470 0
 1 7927 13465 1
 1 7927 13471 0
 1 7928 13466 1
 1 7928 13472 0
 1 7929 13467 1
 1 7929 13473 0
 1 7930 13468 1
 1 7930 13474 0
 1 7931 13469 1
 1 7931 13475 0
 1 7932 13470 1
 1 7932 13476 0
 1 7933 13471 1
 1 7933 13477 0
 1 7934 13472 1
 1 7934 13478 0
 1 7935 destination 0
 1 13456 20310 1
 1 13456 20324 0
 1 13457 20310 1
 1 13457 20325 0
 1 13458 20310 1
 1 13458 20326 0
 1 13459 20310 1
 1 13459 20327 0
 1 13460 20310 1
 1 13460 20328 0
 1 13461 20310 1
 1 13461 20329 0
 1 13462 20310 1
 1 13462 20330 0
 1 13463 20310 1
 1 13463 20331 0
 1 13464 20310 1
 1 13464 20332 0
 1 13465 20310 1
 1 13465 20332 0
 1 13466 20310 1
 1 13466 20332 0
 1 13467 20310 1
 1 13467 20332 0
 1 13468 20310 1
 1 13468 20332 0
 1 13469 20310 1
 1 13469 20332 0
 1 13470 20310 1
 1 13470 20332 0
 1 13471 20310 1
 1 13471 20332 0
 1 13472 20310 1
 1 13472 20332 0
 1 13473 20310 1
 1 13473 20332 0
 1 13474 20310 1
 1 13474 20332 0
 1 13475 20310 1
 1 13475 20332 0
 1 13476 20310 1
 1 13476 20332 0
 1 13477 20310 1
 1 13477 20332 0
 1 13478 destination 0
 1 20310 9408 1
 1 20310 9412 0
 1 20311 9408 1
 1 20311 9413 0
 1 20312 9408 1
 1 20312 9414 0
 1 20313 9408 1
 1 20313 9415 0
 1 20314 9408 1
 1 20314 9416 0
 1 20315 9408 1
 1 20315 9417 0
 1 20316 9408 1
 1 20316 9418 0
 1 20317 9408 1
 1 20317 9419 0
 1 20318 9408 1
 1 20318 9420 0
 1 20319 9408 1
 1 20319 9421 0
 1 20320 9408 1
 1 20320 9422 0
 1 20321 9408 1
 1 20321 9423 0
 1 20322 9408 1
 1 20322 9424 0
 1 20323 9408 1
 1 20323 9425 0
 1 20324 9408 1
 1 20324 9426 0
 1 20325 9408 1
 1 20325 9427 0
 1 20326 9408 1
 1 20326 9428 0
 1 20327 9408 1
 1 20327 9429 0
 1 20328 9408 1
 1 20328 9430 0
 1 20329 9408 1
 1 20329 9430 0
 1 20330 9408 1
 1 20330 9430 0
 1 20331 9408 1
 1 20331 9430 0
